date,Worldwide,Afghanistan,Aland Islands,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,British Indian Ocean Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada ,Cape Verde,Cayman Islands ,Central African Republic,Chad,Chile,China,"Hong Kong, SAR China","Macao, SAR China",Colombia,Comoros,Congo (Brazzaville) ,"Congo, (Kinshasa)",Cook Islands ,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Malvinas) ,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany ,Ghana,Gibraltar ,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Isle of Man ,Israel ,Italy ,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Korea (North),Korea (South),Kuwait,Kyrgyzstan,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macedonia, Republic of",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Federated States of",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestinian Territory,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Réunion,Romania,Russian Federation ,Rwanda,Saint-Barthélemy,Saint Helena ,Saint Kitts and Nevis,Saint Lucia,Saint-Martin (French part),Saint Pierre and Miquelon ,Saint Vincent and Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen Islands ,Swaziland,Sweden,Switzerland,Syrian Arab Republic (Syria),"Taiwan, Republic of China ",Tajikistan,"Tanzania, United Republic of ",Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands ,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic),Viet Nam,"Virgin Islands, US",Western Sahara ,Yemen,Zambia,Zimbabwe
2004-11-01,50,0,0,94,100,0,0,74,0,45,45,16,0,17,16,27,55,24,100,40,20,30,20,100,12,0,96,48,27,25,41,0.0,100,84,19,31,49,61,24,0,35,0,0,27,5,39,12,38,0,43,15,0,46,70,47,27,37,31,29,56,29,36,96,65,32,0,0,25,77,0,0,52,30,57,0,100,0,67,69,11,100,0,47,80,71,48,67,99,0,100,0,0,0,36,29,67,91,68,27,45,30,0,76,23,41,20,0,63,27,76,0,0,74,62,21,0,40,77,0,0,17,28,35,19,100,0,79,52,0,25,18,0,25,40,58,0,45,100,15,0.0,50,0,0,100,32,0,80,0,89,22,25,20,100,0,94,69,63,56,89,0,41,35,55,49,100,92,39,13,68,59,27,53,85,22,0,0,30,29,0,0,0,0,0,0,61,41,56,0,0,26,43,41,100,0,52,0,24,98,61,0,0,100,23,23,53,26,0,100,100,0,46,0,21,60,30,0,100,78,71,46,27,85,47,89,0,37,40,20,0,76,60,36
2004-12-01,39,21,0,41,51,64,0,73,0,52,31,28,29,12,9,100,76,31,67,46,47,16,22,83,26,0,62,41,38,15,0,0.0,65,39,46,82,29,60,16,0,73,0,0,17,4,31,11,28,0,59,48,0,31,93,32,9,23,20,22,0,0,48,57,64,36,0,22,24,54,0,0,27,19,33,0,0,31,15,56,6,65,0,42,0,0,11,71,69,0,0,0,34,31,45,21,49,73,65,28,20,23,0,66,15,37,19,0,56,0,53,0,0,66,80,38,0,35,77,0,0,13,9,30,17,12,81,0,36,28,20,4,0,32,0,37,0,33,0,94,41.0,98,31,0,51,41,40,0,0,41,17,26,14,12,43,54,0,37,29,73,0,51,26,63,16,55,76,33,13,62,24,39,34,55,25,0,0,0,92,0,0,0,0,0,0,60,35,43,0,68,21,38,16,0,0,41,0,13,32,0,0,0,0,17,12,64,20,44,38,60,0,31,0,34,48,29,0,0,40,64,37,22,69,44,43,0,30,44,19,0,45,38,22
2005-01-01,42,11,0,59,52,0,28,100,0,26,30,51,0,10,13,20,52,24,40,0,100,22,0,22,40,41,81,34,49,14,0,0.0,36,56,32,0,59,41,18,0,0,0,0,19,5,38,31,38,0,0,14,0,39,48,28,7,27,28,24,0,54,42,75,43,25,0,65,36,66,0,0,40,20,36,0,76,0,54,77,8,30,41,42,0,0,53,55,37,0,28,0,33,31,64,28,74,78,68,29,15,34,0,66,15,38,18,0,37,40,51,0,0,77,70,38,0,50,61,0,16,65,7,28,13,24,32,43,31,0,18,31,0,44,0,47,0,39,0,29,90.0,62,62,0,52,100,21,34,0,68,20,0,13,36,0,76,40,51,42,66,0,58,17,0,18,57,85,36,9,48,34,79,45,73,0,0,0,27,24,0,0,35,0,0,0,61,37,68,28,0,21,31,16,0,0,21,0,15,77,54,0,0,75,21,14,39,21,0,18,65,0,54,0,45,19,27,0,0,50,50,50,25,75,32,44,0,32,47,31,0,58,82,28
2005-02-01,42,0,0,0,43,0,0,0,0,100,30,27,25,12,9,20,58,13,56,38,40,20,15,20,66,0,58,27,37,19,72,0.0,20,47,31,0,66,33,18,0,86,0,0,17,4,39,12,31,0,30,75,0,62,37,36,8,26,28,20,0,28,49,62,74,26,0,24,31,20,0,0,0,20,33,0,39,0,38,36,7,61,40,29,34,15,13,70,34,0,0,62,30,0,32,15,36,74,81,24,21,31,0,65,15,15,17,0,59,37,50,0,0,76,74,53,35,45,44,0,0,39,0,21,10,22,62,23,44,0,0,7,0,18,22,44,0,36,32,28,60.0,13,29,0,48,29,20,0,0,90,20,0,14,8,0,82,34,39,27,81,0,65,32,0,100,58,100,35,10,63,28,15,33,73,0,0,0,0,27,0,0,0,0,0,0,45,29,40,29,0,20,27,16,0,0,34,0,16,55,0,0,0,90,20,13,63,18,0,35,79,0,36,0,57,36,24,0,0,44,64,50,23,73,22,67,0,34,35,30,0,58,33,57
2005-03-01,40,9,0,100,41,0,0,0,0,61,39,63,22,12,9,46,55,9,21,58,46,17,45,43,9,30,54,32,32,23,100,35.0,50,61,24,55,37,17,17,0,57,0,0,25,4,33,18,38,0,0,23,26,28,63,27,6,29,34,19,38,21,52,63,56,38,0,26,36,27,0,0,0,20,34,100,0,14,77,62,7,62,0,32,59,10,47,79,75,0,21,0,26,23,71,16,54,74,65,28,27,28,0,76,15,83,16,0,34,53,34,0,0,66,48,19,0,48,71,0,9,22,14,33,14,83,100,21,37,0,30,14,0,54,20,27,0,34,0,62,87.0,21,0,0,52,0,0,47,0,51,19,42,13,20,27,78,0,35,40,65,0,55,22,0,56,59,91,34,10,75,21,73,28,76,29,0,0,63,21,0,0,29,44,0,0,44,58,40,0,63,23,32,18,0,0,28,0,14,26,59,37,0,0,20,14,61,18,0,44,71,0,52,0,82,15,23,0,0,33,64,38,22,70,26,31,0,26,44,47,0,46,71,20
2005-04-01,40,36,0,82,51,0,0,24,0,71,36,26,21,12,11,33,41,30,28,57,71,19,22,18,43,0,50,11,21,21,0,0.0,0,58,52,56,31,86,17,0,51,0,0,17,5,36,19,31,0,35,23,0,43,77,27,10,29,40,18,50,0,68,80,54,27,0,31,27,66,0,0,0,19,32,0,40,72,24,34,7,64,0,44,0,24,27,64,27,0,24,0,0,59,43,18,61,80,47,22,22,27,0,70,16,44,16,0,79,56,50,0,0,83,49,65,34,47,41,0,0,25,8,32,8,23,0,68,30,0,7,12,0,19,0,14,0,38,0,27,17.0,66,26,0,52,23,47,13,0,41,17,20,10,45,0,61,0,33,37,76,48,54,30,48,14,57,75,38,7,65,54,15,27,81,35,0,0,26,0,0,0,0,0,0,0,46,31,31,0,0,23,26,17,0,64,28,0,13,27,12,0,0,0,19,14,60,16,23,13,64,0,23,0,17,24,26,0,0,12,67,50,22,75,31,45,40,23,57,78,0,31,78,42
2005-05-01,40,15,0,96,72,0,0,23,0,0,31,14,0,12,10,25,86,33,74,63,59,17,40,32,24,29,65,19,22,22,0,0.0,15,41,47,35,40,69,16,0,15,0,0,24,5,34,0,33,0,57,28,0,37,63,19,4,25,31,17,34,0,68,59,78,31,0,18,20,71,0,0,15,17,29,0,51,12,42,34,7,33,15,35,57,9,100,30,37,0,39,91,100,21,66,18,37,76,64,20,23,23,0,71,17,54,17,0,29,30,41,0,0,71,36,14,43,44,43,0,0,34,7,31,11,56,25,17,37,0,22,21,0,53,0,25,0,39,0,60,49.0,37,0,0,56,0,41,0,0,57,16,0,14,65,0,83,26,40,42,75,0,50,15,0,11,60,61,42,9,65,16,15,42,69,34,0,0,22,23,0,0,35,0,14,100,47,62,38,0,0,19,23,16,0,25,37,0,15,31,76,0,0,0,20,14,94,18,0,26,60,0,80,0,79,37,22,0,0,33,58,36,21,72,40,54,37,27,40,77,0,71,71,32
2005-06-01,38,33,0,60,36,0,56,20,0,37,39,41,19,11,9,43,27,16,58,50,44,17,29,24,57,88,49,15,85,25,26,0.0,15,53,33,0,44,8,16,0,76,0,0,23,4,33,9,32,0,0,22,0,46,47,18,9,33,26,18,36,0,62,49,54,36,0,22,31,40,0,0,31,17,27,0,49,25,22,22,7,77,0,39,33,44,86,61,38,0,22,0,24,23,21,13,85,78,66,21,41,23,0,60,17,92,21,0,63,54,66,0,0,78,70,68,29,33,53,0,10,24,0,29,11,18,28,0,42,15,11,12,0,30,0,12,0,36,0,28,0.0,39,24,0,56,14,24,11,0,81,17,0,14,51,0,78,35,24,31,73,0,46,28,86,47,55,88,32,11,75,35,23,27,59,80,0,0,39,20,0,0,0,100,0,0,48,60,39,0,0,17,32,13,0,0,34,0,14,46,30,0,0,0,14,12,100,19,0,36,65,0,16,0,69,59,22,0,0,25,48,37,20,67,32,74,0,28,47,14,0,47,53,22
2005-07-01,35,14,0,30,70,41,0,0,0,20,34,46,55,11,7,32,100,23,51,9,61,12,62,25,20,0,80,60,65,21,30,0.0,28,44,12,78,53,70,16,0,54,0,0,18,4,31,18,39,0,0,32,0,54,58,21,5,21,22,17,0,81,53,66,38,33,26,19,18,80,0,32,0,13,27,0,37,16,60,39,6,50,17,38,0,15,30,59,62,0,0,0,24,0,22,18,54,83,55,22,17,23,0,58,15,43,18,0,63,70,59,0,0,72,39,65,30,26,60,0,16,25,7,16,11,56,22,0,33,44,13,18,0,17,0,52,0,35,43,28,51.0,51,30,0,60,47,9,12,0,47,14,16,13,34,34,81,38,26,62,52,29,56,24,41,20,55,74,33,9,47,27,71,28,51,0,0,0,39,18,0,0,100,0,15,0,53,41,38,41,0,21,21,11,0,20,30,0,13,12,63,0,0,0,15,12,52,18,0,48,58,0,40,0,78,61,20,0,0,41,40,37,20,64,34,29,0,30,30,26,0,39,0,38
2005-08-01,36,17,0,50,36,27,0,41,0,58,35,13,35,12,10,48,36,23,63,18,15,17,0,55,24,0,33,37,19,24,57,0.0,25,40,45,0,43,53,16,0,56,16,0,18,4,25,9,31,0,0,7,0,54,67,22,7,18,28,16,98,0,63,55,49,41,0,20,52,85,0,0,26,20,30,0,0,44,24,83,6,67,0,25,28,33,67,38,68,0,0,0,42,22,42,15,61,78,41,21,19,25,0,66,17,50,16,0,47,55,45,100,0,67,61,91,53,42,65,0,0,25,12,29,10,48,47,18,31,16,27,17,0,18,0,22,0,38,0,44,53.0,61,24,0,68,12,44,0,0,79,16,14,14,39,27,80,28,25,27,71,0,35,26,43,31,55,79,28,8,63,37,22,36,58,45,0,0,0,34,0,0,0,0,0,0,63,73,51,22,0,19,27,14,23,21,32,0,16,41,20,0,0,0,15,11,28,20,22,50,45,0,55,0,38,29,19,0,0,34,51,35,20,64,31,72,0,33,33,43,0,26,13,58
2005-09-01,40,8,0,27,59,0,42,65,0,36,40,24,64,12,11,36,81,32,69,53,73,16,24,46,54,23,56,43,58,26,58,35.0,13,38,38,0,75,34,16,0,21,0,0,21,4,30,17,32,0,0,29,0,56,43,33,10,33,26,19,0,0,46,64,55,26,0,11,27,61,0,25,50,18,30,64,0,0,22,54,7,69,13,30,26,15,86,75,64,0,20,0,0,38,69,19,68,78,68,27,36,23,0,65,14,62,16,0,56,9,54,0,0,64,73,36,0,41,64,0,24,30,12,33,15,47,43,100,37,14,0,24,0,0,0,19,0,39,27,77,14.0,44,22,0,73,9,23,0,0,51,18,33,13,56,0,58,51,35,32,80,59,56,27,0,41,62,84,27,10,66,40,35,33,59,20,0,0,0,0,0,0,0,0,0,0,54,47,43,0,0,23,22,16,0,0,30,0,15,59,10,100,0,0,16,12,66,19,0,55,55,0,33,0,56,37,21,0,41,44,44,38,22,74,34,26,0,32,42,54,0,76,27,19
2005-10-01,40,0,0,35,52,0,0,65,100,0,31,32,16,11,8,46,25,17,58,29,35,17,29,60,50,77,72,23,14,23,42,0.0,12,54,85,31,40,23,16,0,26,0,0,20,4,32,7,35,0,0,47,0,56,63,28,5,22,31,18,0,14,51,73,59,41,0,8,27,49,0,26,23,17,29,65,0,23,12,27,6,50,0,42,45,0,0,50,63,0,44,0,16,28,48,18,38,77,50,22,20,25,0,55,13,58,18,0,64,51,57,0,0,70,67,44,0,33,59,0,0,40,11,31,14,20,0,15,32,30,48,12,0,42,0,51,0,36,0,27,14.0,59,41,0,76,27,41,36,0,69,15,47,12,35,0,61,20,35,22,86,38,48,24,38,27,62,83,27,9,66,18,17,25,53,43,0,0,0,32,0,0,0,39,0,0,67,39,22,51,0,18,26,20,0,16,27,0,13,56,21,0,0,0,17,11,35,18,19,67,57,0,29,0,39,54,19,0,21,27,66,33,19,70,21,100,0,23,38,42,0,20,23,6
