date,Afghanistan,Åland Islands,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Plurinational State of Bolivia,"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Democratic Republic of the Congo,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (the) [Malvinas],Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Islamic Republic of Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Korea (the Democratic People's Republic of),Republic of Korea,Kuwait,Kyrgyzstan,Lao People's Democratic Republic (the),Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Republic of North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Federated States of Micronesia,Republic of Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,"Palestine, State of",Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Réunion,Romania,Russian Federation,Rwanda,Saint Barthélemy,"Saint Helena, Ascension and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,French part Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Dutch part Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syrian Arab Republic,Province of China Taiwan,Tajikistan,"Tanzania, United Republic of",Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States of America,Uruguay,Uzbekistan,Vanuatu,Bolivarian Republic of Venezuela,Viet Nam,British Virgin Islands,Virgin Islands (U.S.),Western Sahara,Yemen,Zambia,Zimbabwe,Worldwide
2004-11-01,54,0,100,86,0,0,39,0,40,46,0,0,18,17,14,40,42,100,67,73,31,39,51,37,0,89,0,73,26,24,0.0,100,88,0,56,0,83,39,24,0,0,0,27,5,44,0,22,36,0,57,41,34,16,0,36,37,33,0,55,61,78,62,18,0,17,16,69,100,0,45,100,31,51,0,50,0,52,99,11,100,0,45,42,69,38,65,68,0,97,0,59,0,21,42,32,57,82,78,35,29,36,0,82,21,58,23,0,82,45,67,0,0.0,77,75,38,0,55,84,0,80,59,0,41,12,12,100,100,31,48,28,25,16,0,36,0,0,0,46,76,85,65.0,52,27,0,86,0,53,0,86,21,0,19,76,42,89,43,54,54,93,95,40,20,0,22,86,78,37,14,75,49,52,50,91,0,0,0,0,63,0,0,0,0,0,0,69,38,55,58,0,23,0,41,36,0,71,52,0,25,92,18,0,0,25,25,12,21,0,100,93,0,88,0,40,25,30,0,0,57,53,37,28,83,42,0,0,31,58,39,100,0,100,15,36,48
2004-12-01,51,0,14,51,0,0,74,0,19,31,15,18,11,10,42,73,32,29,39,41,17,39,57,38,0,65,0,59,83,15,0.0,21,53,73,55,0,36,47,16,27,0,0,19,4,30,0,21,25,0,38,38,26,13,0,18,27,25,56,54,52,78,95,23,0,15,22,0,35,0,0,23,16,32,0,0,16,14,14,7,54,33,34,0,0,0,60,66,0,0,0,0,0,53,38,20,31,74,56,32,17,23,0,66,14,60,19,0,58,40,58,0,0.0,68,58,62,58,41,33,0,0,29,17,39,12,34,42,0,0,39,26,21,26,0,44,0,41,0,35,0,100,0.0,67,59,0,71,0,71,0,51,17,24,12,26,35,78,54,38,24,50,63,34,40,100,42,56,73,35,11,49,29,27,38,66,25,0,0,0,68,0,0,0,0,71,0,49,23,41,58,0,25,0,26,18,0,0,31,0,14,45,11,0,0,17,12,56,21,25,36,78,0,33,0,47,90,32,0,0,30,73,35,22,67,24,51,0,24,45,0,0,0,73,13,34,37
2005-01-01,28,0,60,64,0,0,100,0,41,31,40,0,11,11,10,62,21,33,11,82,19,0,10,27,48,76,0,34,0,15,0.0,55,61,54,28,0,70,31,18,0,0,0,21,4,37,0,21,0,0,34,35,26,4,0,31,29,22,0,67,47,96,68,32,0,0,25,0,40,0,0,20,19,34,0,59,13,11,59,8,66,28,42,30,0,48,26,47,0,0,0,100,51,67,32,20,45,77,58,29,29,36,0,61,16,63,17,0,24,29,42,0,0.0,69,94,15,0,39,63,0,0,17,17,28,14,11,62,30,25,39,0,6,25,0,31,0,75,0,39,76,62,47.0,59,0,0,71,47,22,0,54,20,27,13,28,0,99,85,46,51,76,0,29,34,0,44,60,75,39,10,53,22,37,39,72,0,0,0,28,0,0,0,0,82,0,0,67,19,62,53,0,22,0,22,19,0,49,26,0,16,21,52,0,0,19,13,9,25,0,47,69,0,54,0,45,30,27,0,0,52,35,45,25,73,20,41,0,32,53,0,55,0,38,100,43,41
2005-02-01,21,0,13,44,0,20,71,0,21,38,28,0,11,9,31,54,41,44,11,100,19,30,42,73,0,48,0,27,41,18,0.0,22,48,22,0,0,99,53,17,88,33,0,18,4,30,0,71,0,0,56,29,30,8,0,35,26,22,0,100,44,69,82,27,0,17,24,0,15,0,0,0,15,33,0,53,15,8,42,8,63,52,31,38,25,15,48,46,0,0,0,31,54,60,33,15,21,80,88,24,14,27,0,68,15,26,17,0,83,30,43,0,0.0,59,59,14,0,55,75,0,0,17,0,26,12,0,20,56,27,40,0,0,7,0,29,21,53,0,38,0,59,37.0,14,30,0,54,39,22,0,100,18,0,13,42,0,75,94,40,47,79,0,25,38,0,47,63,90,35,9,46,33,28,35,74,0,0,0,37,28,0,0,24,43,0,0,44,25,23,47,21,24,0,20,11,0,0,28,0,14,79,55,0,0,21,15,37,23,0,41,82,0,19,0,42,47,27,0,0,55,73,52,23,72,19,47,0,29,51,0,32,0,24,81,41,41
2005-03-01,39,0,23,40,0,0,0,0,100,38,50,13,13,10,16,48,24,16,28,28,16,100,38,44,0,58,0,37,18,23,0.0,33,56,39,37,0,92,35,17,52,0,0,24,5,36,0,60,0,75,62,41,29,7,0,29,23,19,0,45,44,49,73,40,0,13,34,0,15,0,32,28,17,31,0,0,14,24,24,7,89,0,32,64,22,40,23,68,0,0,0,24,42,39,35,19,67,70,74,26,31,29,0,74,15,43,17,0,72,34,37,50,0.0,58,43,83,0,48,66,0,0,26,7,32,12,10,57,30,48,39,31,25,8,0,25,0,59,0,40,0,64,27.0,47,0,0,61,31,35,0,53,20,20,12,14,0,86,41,48,39,73,0,32,22,0,56,61,81,36,9,50,34,12,37,68,0,0,0,66,0,0,0,0,92,0,0,46,19,37,0,0,20,0,26,18,88,0,30,0,14,46,51,0,0,21,15,38,20,0,34,81,0,34,0,64,39,25,0,0,65,70,47,23,70,20,72,0,23,45,48,67,0,19,33,35,39
2005-04-01,73,0,72,51,0,0,26,0,37,41,28,29,12,9,61,31,52,43,76,94,21,41,42,20,85,46,0,11,21,22,0.0,18,48,60,39,0,61,99,17,32,0,0,18,5,33,0,25,0,0,34,51,28,5,0,24,31,22,43,43,60,61,60,28,0,64,38,0,23,0,0,0,22,31,0,0,25,18,24,7,60,0,39,0,35,30,46,52,0,0,0,26,53,26,34,17,54,78,54,23,18,23,0,72,16,44,17,0,93,43,41,0,0.0,66,61,65,0,42,49,0,0,31,0,26,13,32,18,27,46,34,40,12,22,0,30,0,16,0,37,0,14,0.0,93,0,0,71,34,45,0,37,16,0,13,41,0,70,35,35,39,87,67,24,23,0,39,67,81,31,9,57,33,43,32,68,44,0,0,26,0,0,0,0,0,0,0,60,40,53,0,0,22,0,21,20,0,82,29,0,15,46,20,0,0,18,14,46,21,16,33,65,0,11,0,48,25,24,0,36,26,44,50,23,76,38,46,0,24,36,0,51,0,74,40,26,40
2005-05-01,35,0,20,88,0,32,23,0,0,34,71,0,13,8,24,71,33,54,38,72,18,92,28,39,100,59,0,48,0,25,0.0,29,58,59,33,0,52,68,15,40,0,0,27,5,39,0,45,100,0,51,28,21,8,0,30,38,20,73,0,53,77,86,32,0,13,31,0,73,0,32,36,20,29,78,32,24,22,54,7,80,21,39,65,0,16,55,71,0,0,0,74,35,42,34,21,46,77,71,18,11,24,0,73,16,37,16,0,50,24,33,0,0.0,72,26,12,54,18,62,0,0,43,7,23,11,0,31,25,0,41,15,17,8,0,38,0,66,0,39,49,88,58.0,31,26,0,74,39,37,0,73,18,0,15,66,0,66,68,38,46,80,0,26,20,0,30,55,68,37,8,63,40,14,38,66,42,0,0,21,55,0,0,22,0,0,0,49,39,52,0,0,18,0,27,15,0,0,29,0,16,28,37,0,0,18,13,60,23,0,39,79,0,88,0,42,23,23,0,0,36,56,39,23,70,28,38,0,29,37,0,31,0,86,73,24,39
2005-06-01,57,0,32,33,0,0,0,0,18,42,27,11,11,10,17,18,17,76,65,24,18,100,51,47,60,51,0,20,39,25,0.0,31,42,15,0,0,77,59,16,72,0,0,28,4,36,100,24,0,0,42,36,21,10,0,29,27,21,0,47,61,59,70,21,0,13,27,0,18,0,0,14,15,26,0,48,13,26,60,7,53,24,36,35,100,63,36,69,0,25,0,19,84,21,31,15,32,73,60,25,28,26,0,69,17,100,19,0,54,35,47,0,0.0,90,60,55,33,35,70,0,11,43,0,23,20,10,39,0,36,44,0,6,15,0,48,0,40,0,38,0,60,28.0,43,26,0,66,21,72,0,70,15,18,15,60,0,76,0,31,57,70,0,21,40,20,41,59,86,32,10,62,37,0,29,48,61,0,0,39,0,0,0,0,0,0,0,51,34,25,0,0,18,0,24,8,0,0,32,0,15,35,32,0,0,15,12,38,18,0,38,76,0,50,0,59,54,20,0,80,28,44,48,24,66,34,48,0,30,49,23,15,0,20,41,23,36
2005-07-01,95,0,10,42,0,0,37,100,15,33,34,32,12,7,8,90,34,62,9,68,16,26,33,18,0,43,0,20,100,21,0.0,15,55,32,35,0,39,58,16,41,0,0,19,3,39,0,52,22,0,51,26,26,10,0,24,40,19,49,42,50,77,42,29,64,29,33,0,43,0,0,24,14,26,0,35,27,36,42,6,62,0,29,35,59,0,74,53,0,0,43,22,0,26,30,17,52,73,58,24,18,27,0,55,14,24,20,0,71,63,43,0,0.0,59,50,100,39,24,44,0,40,31,36,17,17,38,30,0,18,31,26,0,15,0,18,15,42,0,37,46,62,47.0,74,87,0,100,0,52,0,65,16,15,11,18,66,82,87,24,43,73,0,25,31,0,35,57,71,29,9,45,30,22,27,60,62,0,0,23,43,0,0,18,0,100,0,57,34,52,0,0,21,0,22,14,0,0,27,0,13,65,35,17,0,16,12,43,18,0,50,79,0,57,0,85,21,22,0,0,27,44,51,20,62,37,22,0,26,34,29,28,0,61,23,48,35
2005-08-01,88,0,23,30,64,0,41,0,15,35,0,22,12,8,50,45,26,32,34,56,17,57,59,16,0,47,0,52,37,27,0.0,0,31,37,40,0,39,38,15,40,27,0,18,4,30,0,12,0,0,46,34,27,10,0,35,26,17,86,37,84,54,56,39,0,0,50,0,41,0,0,44,19,28,0,0,40,12,23,7,67,20,25,0,0,75,16,70,0,0,0,22,0,30,26,15,26,72,45,25,17,25,0,62,17,25,17,0,55,17,67,100,0.0,60,73,32,37,38,61,0,0,92,13,26,14,9,0,21,36,30,53,25,11,0,36,0,64,0,40,0,76,62.0,100,44,0,71,19,52,0,70,17,39,13,28,32,83,34,30,45,69,0,27,23,18,62,53,67,26,10,60,35,0,36,63,21,0,0,23,82,0,0,0,0,0,0,78,39,59,33,0,21,0,28,16,0,31,30,0,16,26,27,0,0,15,15,24,17,16,41,62,0,37,0,54,42,19,0,0,43,46,41,21,62,31,33,27,26,38,100,49,0,39,51,62,35
2005-09-01,33,0,9,58,0,16,32,0,45,38,25,41,12,9,38,75,19,61,24,57,19,21,30,75,0,60,0,43,77,27,34.0,13,38,32,0,0,76,59,15,32,24,0,26,5,34,0,10,24,39,47,39,28,11,0,19,25,21,33,0,55,66,53,25,0,0,40,0,54,0,0,41,18,28,90,52,11,14,35,7,66,18,36,29,55,87,100,62,0,46,0,38,33,47,31,19,33,74,74,25,14,21,0,59,14,53,18,0,66,23,37,0,0.0,61,63,0,0,30,36,0,0,17,20,29,16,18,13,0,100,33,14,0,19,0,0,0,43,0,42,43,56,0.0,49,85,0,83,13,17,0,48,17,15,13,38,0,68,93,34,55,80,80,27,36,21,38,66,78,26,12,58,23,50,34,61,47,0,0,0,0,0,0,16,0,0,0,68,32,42,0,0,23,0,21,18,0,0,27,0,15,67,17,35,0,16,14,14,20,0,48,63,0,26,0,53,15,18,0,33,46,47,44,22,71,32,80,0,28,44,0,35,0,59,10,25,39
2005-10-01,0,0,33,49,0,14,49,0,13,28,11,19,12,8,61,39,18,30,28,45,18,35,45,29,54,56,0,42,0,24,40.0,0,42,93,34,0,49,49,16,100,0,0,18,4,37,0,53,0,0,60,23,22,9,0,24,24,18,0,0,51,86,76,32,0,12,29,0,62,0,0,19,15,28,0,0,12,15,37,6,47,18,36,27,14,28,35,53,0,20,0,80,30,32,33,24,27,72,49,24,14,26,0,64,13,28,17,0,74,30,45,0,0.0,79,48,33,34,21,44,21,0,32,6,26,9,8,17,0,17,30,0,23,5,0,15,0,23,0,35,35,61,0.0,82,20,0,99,36,52,0,62,14,29,11,13,32,80,0,33,40,82,0,28,18,37,99,68,81,28,9,63,21,33,28,57,84,0,0,0,0,0,0,0,77,0,0,71,21,43,0,32,16,0,26,17,0,0,31,0,14,80,25,18,0,16,13,53,19,29,39,73,0,63,0,60,21,21,0,23,30,54,35,20,72,30,57,25,22,46,21,38,0,33,27,25,38
