date,Åland Islands,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Plurinational State of Bolivia,"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Democratic Republic of the Congo,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (the) [Malvinas],Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Islamic Republic of Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Republic of Korea,Kuwait,Kyrgyzstan,Lao People's Democratic Republic (the),Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Republic of North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Federated States of Micronesia,Republic of Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,"Palestine, State of",Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Réunion,Romania,Russian Federation,Rwanda,Saint Barthélemy,"Saint Helena, Ascension and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,French part Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Dutch part Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syrian Arab Republic,Province of China Taiwan,Tajikistan,"Tanzania, United Republic of",Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States of America,Uruguay,Uzbekistan,Vanuatu,Bolivarian Republic of Venezuela,Viet Nam,British Virgin Islands,Virgin Islands (U.S.),Western Sahara,Yemen,Zambia,Zimbabwe
2020-10-28 10:00:00,1.0,3,10,3,2,5,0,6,4,6,9,5,1,5,16,4,6,5,5,2,7,8,6,3,4,30,2,3,5,4,2,4,5,1,6,8,5,13,2,5,3,3,2,7,5,9,0,6,8,2,3,3,3,2,3,4,2,5,4,9,4,8,0,3,5,4,0,5,5,2,1,3,0,5,12,6,1,7,4,1,2,,3,18,11,2,11,3,4,3,6,3,2,7,8,11,4,21,3,3,4,1,4,9,1,5,7,4,,18,8,14,12,3,4,6,10,20,5,2,1,2,2,3,7,3,7,7,1,0,3,6,2,0,5,8,7,6,3,0,7,4,4,0,10,2,6,4,6,10,9,7,6,5,6,0,6,3,13,3,6,12,2,1,5.0,4,1,3,6,4,0,8,5,2,9,0,1,0,1,2,5,9,2,3,6,2,12,2,1,9,9,4,8,1,9,20,10,0,2,2,25,3,8,7,8,11,6,7,5,5,2,18,0,4,8,5,3,26,4,15,6,2,10,6,39,9,15,6,4
2020-10-28 11:00:00,2.0,3,11,10,2,5,0,11,5,6,11,5,2,5,8,4,6,8,4,2,9,8,9,2,6,7,2,3,5,4,2,4,9,1,3,8,5,6,6,10,3,3,3,0,6,8,0,5,6,2,3,4,3,2,4,3,0,5,4,10,7,4,11,2,3,3,0,5,7,2,1,1,6,7,9,6,1,7,1,2,6,,2,19,4,3,9,8,5,4,6,3,2,5,8,11,4,22,3,4,5,2,6,9,1,6,8,4,,18,8,12,14,2,4,7,9,20,4,2,2,2,2,2,6,3,10,5,2,0,2,8,2,0,5,0,6,8,3,0,8,5,4,0,11,2,5,4,6,19,10,22,6,5,6,4,4,3,9,3,5,13,2,1,4.0,4,2,3,6,4,0,9,3,5,3,2,3,0,0,0,4,8,2,0,5,3,7,2,2,2,8,4,5,1,9,22,3,0,3,2,24,4,8,7,8,9,6,17,5,5,2,37,10,4,7,5,3,28,4,13,3,2,8,9,17,3,17,6,4
2020-10-28 12:00:00,1.0,4,10,7,2,5,0,7,4,8,6,6,1,6,6,4,6,3,4,2,13,8,6,5,5,3,2,3,5,4,2,4,7,4,6,8,4,9,1,12,3,3,3,0,7,12,0,6,8,2,4,5,3,3,3,7,1,7,4,9,5,3,0,3,3,4,0,11,6,2,1,5,15,7,9,6,1,9,3,1,7,,1,20,8,2,13,3,5,3,6,3,2,5,8,12,4,21,3,4,5,2,5,10,2,5,8,4,,19,7,15,13,2,5,8,8,23,3,2,2,3,2,4,9,4,9,6,1,9,1,8,3,1,5,0,7,6,5,0,8,4,6,0,10,2,2,5,5,8,10,40,6,4,6,11,3,3,13,3,6,13,2,1,5.0,4,2,3,6,4,0,9,5,5,6,2,6,7,2,2,4,9,2,0,8,3,13,2,2,5,6,4,6,1,8,23,10,10,2,2,20,4,8,9,9,22,5,0,5,5,2,28,11,5,8,5,3,30,4,15,4,2,13,10,40,7,18,5,4
2020-10-28 13:00:00,1.0,4,11,10,2,6,0,7,5,7,8,6,1,5,11,3,6,5,4,2,13,8,3,4,5,3,2,3,5,5,2,4,7,2,8,7,4,9,1,5,3,3,3,6,7,10,0,6,8,2,4,5,3,3,3,6,1,7,4,10,6,9,12,2,3,4,0,3,10,2,1,3,8,5,7,6,1,7,5,2,10,,2,21,8,3,17,9,7,4,8,4,2,4,8,12,4,21,3,4,5,1,5,11,3,5,8,4,,20,6,13,15,2,4,8,10,21,4,2,1,3,2,3,6,4,6,7,2,0,1,10,2,0,6,0,5,6,2,0,7,7,5,0,11,2,10,4,7,16,10,34,4,4,6,13,4,4,10,3,6,14,2,2,5.0,4,2,3,6,3,7,8,4,4,8,0,4,0,0,0,4,10,2,0,7,3,6,2,2,9,4,5,4,2,11,19,11,0,2,2,28,4,11,8,9,20,6,18,5,5,2,22,8,5,8,5,3,31,4,14,15,2,15,8,38,9,15,5,4
2020-10-28 14:00:00,1.0,4,10,14,1,4,0,10,5,8,9,6,1,5,9,4,6,8,4,2,9,10,8,2,5,11,2,3,5,5,2,4,7,3,8,6,4,12,3,2,3,4,3,0,5,9,0,6,8,2,3,6,3,2,2,9,1,7,4,9,6,5,22,2,4,4,63,5,6,2,1,0,5,6,9,5,1,8,5,1,1,,3,11,7,3,10,13,6,4,7,4,2,5,8,13,4,18,3,5,5,2,6,12,4,5,8,4,,23,6,13,15,3,5,12,9,22,4,2,2,3,3,3,10,4,6,9,1,0,2,4,1,0,6,0,8,7,4,8,8,5,6,0,10,2,11,6,7,11,10,15,4,4,6,34,6,3,10,3,5,16,2,1,5.0,3,2,3,6,3,3,9,3,3,7,4,5,0,0,3,5,10,2,3,9,3,9,2,2,8,7,5,4,2,8,21,12,0,2,2,22,5,13,6,9,32,5,0,5,5,2,26,6,4,8,4,3,30,3,17,10,2,18,10,39,10,19,6,4
2020-10-28 15:00:00,0.0,4,11,0,2,6,0,11,5,8,12,6,1,6,12,4,6,8,4,2,7,12,6,3,6,3,2,3,5,5,2,4,8,2,9,7,4,7,1,4,3,4,3,0,7,9,0,6,8,2,3,6,3,3,2,6,2,7,4,9,6,5,0,3,5,4,12,4,11,2,1,2,4,7,10,6,1,8,5,1,10,,2,29,7,3,10,3,5,4,7,4,2,4,8,16,4,17,3,6,5,1,5,11,4,5,9,4,,23,8,15,13,2,4,5,8,18,5,2,1,3,3,3,10,4,4,9,2,81,2,7,2,1,6,0,7,6,3,0,7,5,7,0,10,2,7,4,6,19,10,0,4,4,7,8,5,3,11,3,5,16,3,1,4.0,3,3,3,7,4,3,9,1,4,9,4,3,0,0,1,6,10,2,2,6,4,8,2,2,10,6,5,2,1,7,18,11,0,2,1,24,5,8,6,8,17,6,30,6,6,2,33,7,5,8,5,5,30,4,16,0,2,21,14,34,14,18,5,5
2020-10-28 16:00:00,0.0,3,11,6,1,4,0,10,6,8,9,6,2,6,9,4,7,6,4,2,5,7,8,5,6,8,3,3,5,7,2,5,5,2,10,6,4,6,3,5,3,4,3,3,6,4,0,7,7,2,4,5,3,3,3,6,2,6,4,9,5,5,0,3,5,4,0,4,3,2,1,1,7,5,10,5,1,8,2,1,7,,2,16,7,2,13,13,7,3,7,4,2,4,8,15,5,20,3,5,6,1,5,12,3,6,10,4,,24,7,15,18,3,4,8,6,20,1,2,1,3,2,3,10,5,6,8,2,0,2,5,2,5,6,0,7,6,3,0,8,4,6,0,12,2,0,5,8,18,10,21,4,5,7,0,4,4,14,3,6,18,3,1,5.0,3,2,3,7,3,3,10,9,4,2,2,2,0,0,3,6,9,2,2,5,3,6,2,2,0,6,5,4,1,9,20,12,0,2,2,23,5,10,5,10,54,5,0,5,5,2,16,9,5,8,5,3,30,4,15,0,2,22,12,36,7,22,5,4
2020-10-28 17:00:00,1.0,3,12,7,1,4,16,5,6,8,12,6,1,6,10,4,8,6,4,2,10,8,8,6,7,8,2,4,5,4,3,3,6,1,9,6,4,9,7,7,4,5,3,4,6,8,0,6,7,2,4,8,3,2,4,5,2,5,5,9,6,8,12,3,7,4,0,2,12,2,1,1,3,5,8,6,1,7,1,2,5,,2,26,8,1,10,11,5,3,7,4,2,5,9,18,5,20,3,3,6,2,5,13,1,6,9,4,,24,7,14,20,3,5,7,8,13,5,2,2,3,3,3,7,5,7,4,2,0,2,5,2,3,6,0,8,8,4,0,7,3,7,0,8,3,0,5,7,16,9,0,5,5,8,0,5,4,16,3,6,21,3,1,5.0,4,2,4,7,5,0,10,6,5,17,2,7,0,2,0,6,10,3,2,8,4,9,2,2,7,5,5,5,1,9,23,10,0,3,2,20,5,18,6,9,64,4,0,5,5,2,28,5,4,9,5,3,30,4,19,0,2,21,5,36,11,19,4,5
2020-10-28 18:00:00,1.0,3,10,11,1,4,0,6,6,7,9,6,2,5,11,4,9,8,5,3,6,7,5,4,6,9,2,3,5,7,2,4,3,3,9,5,4,8,4,5,3,5,4,6,4,8,0,6,8,3,3,5,4,3,4,5,0,6,5,9,6,5,27,4,2,4,0,7,9,3,1,1,6,4,7,5,2,7,10,2,2,,2,20,7,2,9,8,6,3,8,5,2,5,12,17,5,23,4,4,6,2,5,14,2,7,10,4,,22,9,14,27,4,5,6,4,18,3,3,2,4,2,4,9,5,6,5,2,0,1,8,2,1,6,0,8,6,4,0,6,4,6,0,10,3,0,5,7,12,10,0,5,5,7,0,5,4,10,3,6,23,3,2,5.0,5,2,3,7,3,0,10,4,5,4,0,2,0,1,0,7,7,3,3,3,3,8,2,2,0,6,5,4,1,10,22,10,10,3,2,22,4,15,7,9,25,4,11,5,5,2,21,8,4,9,6,4,29,4,17,11,2,20,13,43,6,19,4,5
2020-10-28 19:00:00,2.0,4,9,9,3,4,0,15,5,7,9,6,2,6,13,5,9,6,5,2,9,5,9,3,5,6,2,2,5,6,2,3,7,3,7,6,4,8,2,9,3,4,3,2,7,5,12,7,5,3,3,4,3,3,3,4,2,6,4,10,6,12,0,3,3,4,0,7,10,3,1,2,4,4,5,6,2,6,1,2,3,,2,22,6,3,5,0,6,3,7,5,2,8,14,17,5,22,3,4,7,2,5,14,3,6,10,4,,22,8,15,13,3,5,8,4,17,4,3,2,1,2,4,10,4,6,5,2,5,2,1,2,3,6,42,7,8,3,6,6,3,6,0,9,3,5,4,8,7,9,0,5,4,9,0,5,4,17,3,7,28,3,2,5.0,5,1,3,7,2,0,11,5,2,5,0,3,2,2,0,7,5,3,0,4,4,10,2,2,7,5,5,4,1,9,23,9,0,3,2,21,6,14,8,8,22,4,0,5,6,2,26,10,4,8,6,4,29,4,20,8,2,19,18,20,15,21,5,4
2020-10-28 20:00:00,2.0,4,10,4,2,6,11,16,6,10,7,6,2,7,12,4,10,5,5,3,6,5,6,4,5,0,2,3,5,10,2,4,6,3,7,6,4,6,0,6,3,5,3,3,6,7,5,6,6,3,2,7,3,3,3,4,3,7,4,10,5,4,0,4,3,3,0,3,6,3,1,2,3,5,7,7,2,5,7,2,3,,2,24,7,3,7,8,7,3,6,4,2,6,16,14,5,19,3,3,6,4,6,16,3,5,9,5,,23,8,15,16,3,5,5,5,22,4,3,2,2,2,4,7,5,7,6,1,3,2,1,2,0,7,0,7,0,5,0,6,4,6,0,11,3,5,4,6,13,9,0,8,4,9,18,5,4,18,3,5,26,3,3,5.0,5,2,3,8,4,0,10,2,5,3,0,3,0,3,2,7,8,2,0,3,4,8,2,2,9,7,6,4,2,8,23,9,5,3,3,23,6,12,7,8,6,2,4,5,5,3,19,9,4,9,6,4,28,3,18,10,2,17,5,24,7,19,4,4
2020-10-28 21:00:00,1.0,4,11,5,2,5,0,13,5,12,6,5,2,7,11,5,11,7,5,2,9,7,7,4,5,10,2,3,5,5,3,3,7,1,7,6,4,9,2,7,3,5,3,0,5,6,0,6,7,3,2,7,3,3,3,5,1,7,4,9,4,4,0,4,9,3,0,8,7,3,1,3,6,8,9,6,2,6,4,2,6,,2,24,7,3,8,9,7,2,6,4,2,6,17,13,5,20,4,4,6,2,5,13,5,6,9,5,,24,9,18,27,4,4,6,5,19,2,3,3,3,2,3,8,4,6,5,2,5,2,2,2,0,6,15,8,13,3,0,6,5,6,0,9,3,3,3,7,10,9,10,5,5,11,17,6,4,11,3,5,23,4,2,5.0,5,5,3,9,3,0,10,6,4,4,0,3,6,0,0,7,7,3,0,5,4,6,2,3,3,7,6,4,2,10,26,10,0,4,3,22,7,11,10,7,4,4,0,5,5,3,9,9,4,9,6,4,27,3,21,5,2,18,28,22,9,22,5,4
2020-10-28 22:00:00,0.0,4,12,17,2,4,0,7,5,11,4,4,3,12,14,3,12,8,6,3,6,9,7,4,6,13,2,1,5,7,3,6,12,0,9,8,4,3,4,3,3,5,3,7,8,8,0,6,9,3,3,9,4,3,4,6,6,7,4,11,5,4,0,4,4,4,0,5,4,4,2,3,10,11,7,7,3,8,3,2,1,,3,21,6,5,12,2,7,3,6,6,3,7,15,15,5,20,4,5,7,3,6,13,6,7,9,6,,23,9,18,25,5,5,19,7,21,15,4,2,4,2,4,8,5,5,9,2,6,2,3,3,0,6,10,10,9,5,0,8,7,7,0,11,4,2,3,8,11,12,23,6,7,12,0,7,3,11,3,6,19,4,2,5.0,5,2,5,9,4,8,11,5,5,6,2,4,4,3,0,7,8,3,0,5,4,9,3,4,9,7,6,4,2,8,25,8,0,4,3,28,6,7,9,8,13,9,5,6,7,3,33,5,5,11,7,5,28,4,16,2,2,21,6,32,10,23,6,5
